User_U,User_V,Utility,Social
257,0,0.6634,0.5585
0,258,0.7237,0.7126
258,0,0.1045,0.8549
0,259,0.0406,0.3946
259,0,0.046,0.6283
0,260,0.1664,0.6104
260,0,0.7773,0.0802
0,261,0.6421,0.3394
261,0,0.3301,0.8583
0,262,0.8725,0.701
262,0,0.9007,0.694
0,263,0.0661,0.482
263,0,0.1674,0.137
0,264,0.404,0.5299
264,0,0.1462,0.8857
0,265,0.4914,0.3767
265,0,0.3251,0.7099
0,266,0.0388,0.8281
266,0,0.443,0.9929
0,267,0.3683,0.9927
267,0,0.7834,0.9215
0,268,0.5478,0.2771
268,0,0.2076,0.9895
0,269,0.9093,0.5488
269,0,0.4735,0.0742
0,270,0.8138,0.7313
270,0,0.4658,0.8925
0,271,0.2416,0.8708
271,0,0.7548,0.1752
0,272,0.0548,0.7226
272,0,0.2847,0.0644
0,273,0.0384,0.0803
273,0,0.2325,0.0346
0,274,0.2159,0.7125
274,0,0.7435,0.1067
0,275,0.2539,0.2798
275,0,0.6182,0.4662
0,276,0.7008,0.2797
276,0,0.6207,0.4701
0,277,0.507,0.9421
277,0,0.9918,0.8504
0,278,0.8188,0.199
278,0,0.6744,0.5314
0,279,0.4664,0.7335
279,0,0.2314,0.9684
0,280,0.0175,0.0911
280,0,0.8281,0.931
0,281,0.5317,0.9587
281,0,0.493,0.2913
0,282,0.9374,0.7649
282,0,0.4485,0.3325
0,283,0.9987,0.096
283,0,0.0804,0.6851
0,284,0.3465,0.081
284,0,0.047,0.5401
0,285,0.1962,0.6213
285,0,0.5689,0.2788
0,286,0.3926,0.6396
286,0,0.6867,0.911
0,287,0.7737,0.3879
287,0,0.3632,0.2479
0,288,0.1653,0.068
288,0,0.1912,0.3751
0,289,0.7093,0.91
289,0,0.2093,0.3375
0,290,0.9934,0.3151
290,0,0.5248,0.6006
0,291,0.5403,0.4392
291,0,0.2132,0.5662
0,292,0.4365,0.4854
292,0,0.4405,0.0933
0,293,0.461,0.1211
293,0,0.4284,0.0165
0,294,0.521,0.0023
294,0,0.3796,0.0715
0,295,0.3419,0.0944
295,0,0.4216,0.9064
0,296,0.6205,0.5517
296,0,0.7393,0.8018
0,297,0.7564,0.2829
297,0,0.3088,0.4287
0,298,0.5544,0.7045
298,0,0.8116,0.0551
0,299,0.7286,0.6024
299,0,0.2857,0.4171
0,300,0.4575,0.9865
300,0,0.9932,0.4291
0,301,0.7006,0.923
301,0,0.4178,0.285
0,302,0.5665,0.654
302,0,0.5622,0.6101
0,303,0.7812,0.4212
303,0,0.7673,0.3866
0,304,0.0587,0.011
304,0,0.3533,0.2985
0,305,0.2986,0.1959
305,0,0.8558,0.46
0,306,0.088,0.8921
306,0,0.6507,0.2606
0,307,0.919,0.4788
307,0,0.4668,0.9695
0,308,0.1334,0.4109
308,0,0.4134,0.4642
0,309,0.484,0.2791
309,0,0.5319,0.9991
0,310,0.2962,0.6114
310,0,0.6617,0.4783
0,311,0.0044,0.4907
311,0,0.6269,0.6108
0,312,0.5007,0.3121
312,0,0.1017,0.5027
0,313,0.7557,0.3505
313,0,0.0948,0.2471
0,314,0.8639,0.0173
314,0,0.5467,0.4836
0,315,0.9266,0.5695
315,0,0.0673,0.8993
0,316,0.5551,0.312
316,0,0.6609,0.6992
0,317,0.1048,0.8114
317,0,0.1639,0.103
0,318,0.8041,0.5075
318,0,0.2353,0.2841
0,319,0.757,0.683
319,0,0.5429,0.7794
0,320,0.8938,0.4172
320,0,0.7772,0.8442
0,321,0.8975,0.2554
321,0,0.0257,0.6321
0,322,0.4098,0.3296
322,0,0.5717,0.0908
0,323,0.6786,0.6157
323,0,0.2083,0.7247
0,324,0.6498,0.2893
324,0,0.6533,0.1397
0,325,0.6081,0.0662
325,0,0.2163,0.7291
0,326,0.8893,0.1818
326,0,0.4719,0.6622
0,327,0.4191,0.7304
327,0,0.6898,0.382
0,328,0.7461,0.5729
328,0,0.0422,0.661
0,329,0.119,0.3886
329,0,0.272,0.0977
0,330,1.0,0.6868
330,0,0.0428,0.2187
0,331,0.1019,0.7534
331,0,0.4735,0.1719
0,332,0.3795,0.1913
332,0,0.4326,0.1888
0,333,0.0492,0.6947
333,0,0.9368,0.9742
0,334,0.4529,0.057
334,0,0.7342,0.0672
0,335,0.6533,0.3635
335,0,0.3707,0.1378
0,336,0.9401,0.5429
336,0,0.6089,0.6609
0,337,0.4021,0.2294
337,0,0.55,0.899
0,338,0.7046,0.199
338,0,0.027,0.942
0,339,0.3445,0.5425
339,0,0.7202,0.5097
0,340,0.2314,0.2612
340,0,0.0403,0.7337
0,341,0.4276,0.6189
341,0,0.4122,0.34
0,342,0.2076,0.7636
342,0,0.8733,0.3505
0,343,0.2941,0.5812
343,0,0.344,0.4193
0,344,0.9254,0.9862
344,0,0.6129,0.802
0,345,0.6192,0.7189
345,0,0.0848,0.1057
0,346,0.8922,0.0722
346,0,0.5697,0.0913
0,347,0.3163,0.6839
347,0,0.8172,0.503
1,48,0.9492,0.1785
48,1,0.3163,0.638
1,53,0.8424,0.4643
53,1,0.1428,0.529
1,54,0.4351,0.0303
54,1,0.4508,0.6304
1,73,0.2401,0.4801
73,1,0.0338,0.4776
1,88,0.2741,0.6218
88,1,0.0666,0.9897
1,92,0.9535,0.8512
92,1,0.1342,0.3154
1,119,0.5364,0.4945
119,1,0.1325,0.767
1,126,0.5588,0.6411
126,1,0.3162,0.459
1,133,0.8498,0.3208
133,1,0.8789,0.7453
1,194,0.6507,0.1216
194,1,0.4919,0.0847
1,236,0.4276,0.3293
236,1,0.6028,0.0096
1,280,0.2308,0.2926
280,1,0.9672,0.5134
1,299,0.1304,0.7876
299,1,0.7008,0.5109
1,315,0.9856,0.0836
315,1,0.5451,0.4262
1,322,0.9697,0.6134
322,1,0.1742,0.5405
1,346,0.4879,0.0963
346,1,0.8058,0.1652
2,20,0.9823,0.2581
20,2,0.0288,0.6192
2,115,0.5096,0.6081
115,2,0.2642,0.7341
2,116,0.2892,0.1504
116,2,0.4312,0.1966
2,149,0.7399,0.8929
149,2,0.0223,0.7754
2,226,0.436,0.5333
226,2,0.6073,0.1605
2,312,0.9353,0.4955
312,2,0.1246,0.6164
2,326,0.3915,0.019
326,2,0.2615,0.5948
2,333,0.9796,0.7731
333,2,0.1167,0.4089
2,343,0.6125,0.5751
343,2,0.6442,0.2726
3,9,0.8087,0.3356
9,3,0.7405,0.0545
3,25,0.2254,0.5602
25,3,0.0733,0.3974
3,26,0.8325,0.0827
26,3,0.6014,0.73
3,67,0.9516,0.9128
67,3,0.3774,0.5499
3,72,0.3766,0.0666
72,3,0.2743,0.7978
3,85,0.8743,0.118
85,3,0.4448,0.7319
3,122,0.2209,0.3395
122,3,0.2555,0.1129
3,142,0.5946,0.5221
142,3,0.8062,0.6434
3,170,0.6378,0.9977
170,3,0.0308,0.0905
3,188,0.1703,0.2279
188,3,0.7246,0.3024
3,200,0.6583,0.2367
200,3,0.0653,0.7633
3,228,0.6824,0.0239
228,3,0.5973,0.2819
3,274,0.2275,0.0112
274,3,0.8008,0.953
3,280,0.7292,0.4992
280,3,0.3187,0.1953
3,283,0.4112,0.7363
283,3,0.6439,0.3401
3,323,0.3591,0.7766
323,3,0.2423,0.6666
4,78,0.7324,0.5671
78,4,0.8587,0.9511
4,152,0.015,0.963
152,4,0.1105,0.9989
4,181,0.2814,0.8919
181,4,0.0177,0.929
4,195,0.9037,0.6299
195,4,0.5133,0.1723
4,218,0.4683,0.5816
218,4,0.0551,0.9181
4,273,0.8841,0.2901
273,4,0.7336,0.6357
4,275,0.7225,0.1629
275,4,0.1,0.7643
4,306,0.3777,0.1583
306,4,0.4651,0.6145
4,328,0.9453,0.0968
328,4,0.6064,0.3348
5,87,0.6115,0.4061
87,5,0.4102,0.3789
5,122,0.3581,0.7649
122,5,0.2172,0.5471
5,156,0.5714,0.8152
156,5,0.3939,0.4901
5,158,0.9822,0.7708
158,5,0.4363,0.877
5,169,0.8437,0.0502
169,5,0.8636,0.2084
5,180,0.3567,0.2999
180,5,0.3453,0.5762
5,187,0.1743,0.3101
187,5,0.0146,0.0431
5,204,0.6784,0.0703
204,5,0.7537,0.2164
5,213,0.3896,0.0917
213,5,0.0324,0.4985
5,235,0.2591,0.5185
235,5,0.6543,0.3243
5,315,0.0426,0.4761
315,5,0.6595,0.3506
5,316,0.8671,0.1533
316,5,0.7158,0.9619
6,89,0.9666,0.9757
89,6,0.8559,0.8685
6,95,0.4791,0.41
95,6,0.5657,0.2748
6,147,0.0471,0.4336
147,6,0.1686,0.1275
6,219,0.7166,0.5739
219,6,0.2492,0.5289
6,319,0.1357,0.0707
319,6,0.6688,0.2832
7,22,0.0101,0.8442
22,7,0.2016,0.2636
7,31,0.6275,0.2103
31,7,0.4888,0.3642
7,38,0.2439,0.9358
38,7,0.8898,0.0713
7,65,0.0643,0.2312
65,7,0.8828,0.1308
7,87,0.9721,0.3917
87,7,0.7056,0.6395
7,103,0.7933,0.0925
103,7,0.778,0.1675
7,129,0.7628,0.2935
129,7,0.3053,0.2774
7,136,0.5737,0.1387
136,7,0.7706,0.9321
7,168,0.0028,0.3252
168,7,0.4899,0.912
7,213,0.7457,0.2222
213,7,0.0014,0.3773
7,246,0.4573,0.4271
246,7,0.9325,0.6178
7,291,0.6602,0.089
291,7,0.4052,0.113
7,304,0.5014,0.3302
304,7,0.0714,0.8995
7,308,0.6558,0.0552
308,7,0.0407,0.9281
7,315,0.6032,0.2979
315,7,0.789,0.0228
7,322,0.8497,0.9406
322,7,0.1736,0.123
7,339,0.0707,0.1852
339,7,0.4769,0.3231
7,340,0.8789,0.8167
340,7,0.7243,0.6959
7,347,0.5239,0.5959
347,7,0.9782,0.1652
8,91,0.2188,0.3189
91,8,0.7721,0.994
8,110,0.2169,0.5021
110,8,0.8807,0.9542
8,193,0.4062,0.0605
193,8,0.0128,0.2306
8,201,0.0234,0.3728
201,8,0.498,0.2739
8,245,0.2081,0.5272
245,8,0.0609,0.162
8,259,0.7475,0.2908
259,8,0.8198,0.5116
8,264,0.4505,0.3356
264,8,0.4879,0.2207
9,21,0.937,0.8547
21,9,0.2056,0.9851
9,25,0.9513,0.049
25,9,0.8827,0.8206
9,26,0.9412,0.238
26,9,0.2206,0.1304
9,30,0.0435,0.789
30,9,0.7946,0.2601
9,56,0.526,0.9294
56,9,0.9532,0.9697
9,66,0.1523,0.9172
66,9,0.14,0.4708
9,67,0.7295,0.7987
67,9,0.2449,0.8337
9,69,0.4678,0.8824
69,9,0.8854,0.9198
9,72,0.9146,0.7398
72,9,0.988,0.2891
9,75,0.5429,0.031
75,9,0.7554,0.504
9,79,0.9067,0.1835
79,9,0.4549,0.9544
9,85,0.3014,0.7894
85,9,0.3776,0.3195
9,105,0.5885,0.6751
105,9,0.0567,0.6944
9,113,0.4291,0.7308
113,9,0.0831,0.0863
9,119,0.6837,0.0632
119,9,0.6873,0.7882
9,122,0.1898,0.0179
122,9,0.8568,0.0283
9,128,0.9246,0.8317
128,9,0.4675,0.2098
9,133,0.9492,0.8527
133,9,0.0194,0.9339
9,134,0.2697,0.9751
134,9,0.57,0.6527
9,141,0.4489,0.7428
141,9,0.4494,0.8355
9,142,0.3738,0.515
142,9,0.7572,0.5933
9,148,0.0383,0.0143
148,9,0.5033,0.9853
9,156,0.3189,0.9818
156,9,0.0362,0.6088
9,161,0.0516,0.4535
161,9,0.036,0.4815
9,169,0.3452,0.891
169,9,0.3293,0.6913
9,170,0.7917,0.6143
170,9,0.5157,0.8011
9,176,0.0064,0.4173
176,9,0.1984,0.4413
9,185,0.1601,0.4309
185,9,0.0695,0.479
9,186,0.8407,0.3393
186,9,0.8512,0.0043
9,188,0.1278,0.3707
188,9,0.4875,0.0775
9,199,0.1166,0.5729
199,9,0.9792,0.335
9,200,0.7817,0.1759
200,9,0.321,0.2994
9,203,0.9798,0.868
203,9,0.2101,0.4497
9,224,0.6315,0.7603
224,9,0.1186,0.244
9,231,0.5863,0.6512
231,9,0.6265,0.1381
9,232,0.785,0.4416
232,9,0.1348,0.9188
9,252,0.4368,0.3882
252,9,0.884,0.3486
9,258,0.6778,0.2676
258,9,0.9299,0.7807
9,271,0.3162,0.1303
271,9,0.4153,0.6706
9,272,0.7815,0.536
272,9,0.1637,0.991
9,276,0.3402,0.2419
276,9,0.9115,0.1156
9,277,0.2489,0.1797
277,9,0.6997,0.6396
9,280,0.788,0.0429
280,9,0.4898,0.1813
9,285,0.1419,0.5802
285,9,0.901,0.1939
9,291,0.3687,0.9254
291,9,0.0313,0.6245
9,295,0.3601,0.1369
295,9,0.6348,0.0551
9,297,0.4392,0.2978
297,9,0.8711,0.6295
9,304,0.604,0.0155
304,9,0.9177,0.6526
9,315,0.0591,0.5219
315,9,0.4155,0.7155
9,322,0.8736,0.0429
322,9,0.9951,0.136
9,323,0.9792,0.3456
323,9,0.9758,0.7399
9,329,0.5924,0.128
329,9,0.2637,0.944
9,334,0.8024,0.4086
334,9,0.7429,0.7223
9,341,0.3388,0.3431
341,9,0.875,0.077
9,342,0.6182,0.407
342,9,0.8148,0.6579
10,67,0.8427,0.6742
67,10,0.7311,0.1252
10,142,0.625,0.2998
142,10,0.1132,0.6839
10,169,0.7067,0.9845
169,10,0.3353,0.2562
10,200,0.6675,0.6475
200,10,0.2013,0.5009
10,277,0.1572,0.4261
277,10,0.053,0.4512
10,285,0.8305,0.5908
285,10,0.6461,0.8315
10,291,0.5849,0.5776
291,10,0.3477,0.2468
10,323,0.4998,0.685
323,10,0.1263,0.4065
10,332,0.7242,0.208
332,10,0.3902,0.0406
13,21,0.0419,0.008
21,13,0.8436,0.7245
13,26,0.9215,0.3791
26,13,0.7146,0.7489
